KPI (english),KPI (german),KPI (ukranian),KPI (romanian),KPI (bosnian),KPI (bulgarian),Amount
EUR m,EUR m,млн євро,EUR m,EUR m,Млн. евро,
in '000,im Jahr '000,У '000,În '000,u '000,през '000,1.1 .- 30.09.2021
Interest income (effective interest method)*,Zinserträge (Effektivzinsmethode)*,Процентний дохід (ефективний процентний метод)*,Venituri din dobânzi (metoda dobânzii efective)*,Prihod od kamate (metod efektivne kamate),Доход от лихви (метод на ефективната лихва)*,"226,854"
Interest expenses*,Zinsaufwand*,Процентні витрати*,Cheltuieli cu dobânzile*,Troškovi kamate*,Разходи за лихви*,"65,461"
Net interest income,Zinsüberschuss,Чистий процентний дохід,Venituri nete din dobânzi,Neto prihod od kamata,Нетен лихвен доход,"161,393"
Fee and commission income,Gebühren- und Provisionserträge,Комісійний дохід,Venituri din taxe și comisioane,Prihodi od naknada i provizije,Приходи от такси и комисиони,"53,446"
Fee and commission expenses,Gebühren- und Provisionsaufwendungen,Комісійні та комісійні витрати,Cheltuieli cu taxele și comisioanele,Troškovi i troškovi provizije,Разходи за такси и комисионни,"16,388"
Net fee and commission income,Provisionsüberschuss,Чистий комісійний та комісійний дохід,Venituri nete din taxe și comisioane,Neto naknada i prihod od provizije,Нетни приходи от такси и комисиони,"37,058"
Result from foreign exchange transactions,Ergebnis aus Devisengeschäften,Результат валютних операцій,Rezultatul tranzacțiilor valutare,Rezultat deviznih transakcija,Резултат от валутни сделки,"12,036"
Result from derivative financial instruments and hedging relationships*,Ergebnis aus derivativen Finanzinstrumenten und Sicherungsbeziehungen*,Результат від похідних фінансових інструментів та відносин хеджування*,Rezultatul instrumentelor financiare derivate și al relațiilor de acoperire împotriva riscurilor*,Rezultat izvedenih finansijskih instrumenata i hedžing odnosa*,Резултат от деривативни финансови инструменти и хеджиращи взаимоотношения*,
Result on derecognition of financial assets measured at amortised cost,"Ergebnis aus der Ausbuchung von finanziellen Vermögenswerten, die zu fortgeführten Anschaffungskosten bewertet werden","Результат про припинення визнання фінансових активів, оцінених за амортизованою собівартістю",Rezultatul derecunoașterii activelor financiare evaluate la costul amortizat,Rezultat depriznavanja finansijskih sredstava merenih po amortizovanim troškovima,"Резултат от отписването на финансови активи, оценени по амортизирана стойност",0
Net other operating result,Sonstiges betriebliches Ergebnis,Чистий інший операційний результат,Alt rezultat net din exploatare,Neto drugi operativni rezultat,Нетен друг оперативен резултат,"-6,318"
Operating income*,Operatives Ergebnis*,Операційний дохід*,Venituri din exploatare*,Operativni prihod*,Оперативен приход*,"204,517"
Personnel expenses,Personalaufwand,Витрати на персонал,Cheltuieli de personal,Troškovi osoblja,Разходи за персонал,"64,113"
Administrative expenses,Verwaltungsaufwendungen,Адміністративні витрати,Cheltuieli administrative,Administrativni troškovi,Административни разходи,"63,584"
Loss allowance*,Wertberichtigung*,Надбавка за втрату*,Indemnizație pentru pierdere*,Naknada za gubitke*,Надбавка за загуби*,"3,248"
Profit before tax,Ergebnis vor Steuern,Прибуток до оподаткування,Profit înainte de impozitare,Profit prije poreza,Печалба преди данъци,"73,572"
Income tax expenses,Ertragsteueraufwand,Витрати з податку на прибуток,Cheltuieli cu impozitul pe profit,Troškovi poreza na dohodak,Разходи за данък върху дохода,"11,544"
Profit of the period,Periodenergebnis,Прибуток періоду,Profitul perioadei,Profit perioda,Печалба за периода,"62,028"
Profit attributable to ProCredit shareholders,Den ProCredit Aktionären zurechenbarer Gewinn,"Прибуток, що припадає на акціонерів ПроКредит",Profitul atribuibil acționarilor ProCredit,Profit koji se pripisuje akcionarima ProCredit-a,"Печалба, която може да се припише на акционерите на ПроКредит","62,028
87,105"
